TOP1-50,Frequency1,TOP51-100,Frequency2
back,830,turn,169
love,824,home,169
baby,775,stay,168
time,544,pain,165
black,484,high,163
feel,462,im,163
man,446,game,162
money,420,inside,161
girl,412,body,158
real,392,leave,153
put,387,long,152
life,385,top,152
night,326,lot,150
day,325,lie,148
hit,312,break,144
ride,308,ther,143
god,282,beat,143
call,277,bitch,143
made,272,people,139
bad,266,thing,138
big,260,live,137
show,252,pop,135
good,251,friends,133
tryna,244,thought,132
mind,241,cash,132
ass,239,damn,131
world,238,goin',131
hold,226,things,129
work,222,woo,128
stop,210,babe,127
face,208,party,127
hate,206,fight,124
hard,204,hope,124
head,204,feeling,122
heart,196,hear,122
don’t,193,miss,122
run,191,check,122
told,189,roll,121
young,188,rich,121
side,182,lil',121
talk,181,dead,120
die,180,lost,118
shit,179,coming,118
pull,178,change,116
rock,175,drop,115
gang,174,remember,114
gucci,173,find,114
play,173,eyes,113
boy,170,rap,112
left,170,low,111
